TECHNIPFMC ,resources
WESTERN DIGITAL ,technology
QUANTA SERVICES ,utility
FMC ,other
FASTENAL ,other
AIRGAS DEAD - DELIST.23/05/16 ,other
BOOKING HOLDINGS ,other
ROSS STORES ,consumer
VISA 'A' ,financials
ROPER TECHNOLOGIES ,technology
NRG ENERGY ,utility
BERKSHIRE HATHAWAY 'A' ,financials
HELMERICH & PAYNE ,resources
DISCOVERY SERIES A ,other
ONEOK ,resources
CERNER ,technology
CARMAX ,other
QEP RESOURCES (NYS) DEAD - DELIST.17/03/21 ,resources
CHUBB ,financials
JOHNSON CONTROLS INTL. ,technology
INGERSOLL RAND ,technology
NEWFIELD EXPLORATION DEAD - DELIST.14/02/19 ,resources
CABLEVISION SYS. DEAD - DELIST.21/06/16 ,other
F5 NETWORKS ,technology
NETFLIX ,other
JOY GLOBAL DEAD - DELIST.06/04/17 ,resources
COVIDIEN DEAD - DELIST.27/01/15 ,technology
EDWARDS LIFESCIENCES ,technology
BLACKROCK ,financials
CHIPOTLE MEXN.GRILL ,other
ALPHA NATURAL RESOURCES DEAD - DELIST.27/07/16 ,resources
MARATHON PETROLEUM ,resources
ACCENTURE CLASS A ,other
MOSAIC ,resources
TE CONNECTIVITY ,technology
XYLEM ,technology
COOPER INDUSTRIES DEAD - ACQD.BY 903749 ,technology
AGL RESOURCES DEAD - DELIST.01/07/16 ,utility
BORGWARNER ,technology
DOLLAR TREE ,consumer
PERRIGO ,other
TRIPADVISOR 'A' ,other
WPX ENERGY DEAD - DELIST.07/01/21 ,resources
CROWN CASTLE INTL. ,technology
FOSSIL GROUP ,other
PHILLIPS 66 ,utility
KINDER MORGAN ,utility
ALEXION PHARMS. ,other
LAM RESEARCH ,technology
MONSTER BEVERAGE ,consumer
SEAGATE TECHNOLOGY HOLDINGS ,technology
VALARIS ,resources
LYONDELLBASELL INDS.CL.A ,resources
PENTAIR ,utility
ADT ,technology
KRAFT FOODS GROUP DEAD - ACQD.BY 9801CJ ,consumer
KRAFT HEINZ ,consumer
PETSMART DEAD - DELIST.12/03/15 ,other
DOLLAR GENERAL ,consumer
GARMIN ,technology
DELPHI TECHNOLOGIES DEAD - DELIST.02/10/20 ,technology
APTIV ,technology
ABBVIE ,other
PVH ,other
REGENERON PHARMS. ,other
MACERICH ,consumer
KANSAS CITY SOUTHERN ,other
GENERAL MOTORS ,technology
ZOETIS A ,other
FOX A ,other
NIELSEN ,other
NEWS 'A' ,other
DELTA AIR LINES ,other
AMETEK ,technology
VERTEX PHARMS. ,other
TRANSOCEAN ,resources
MICHAEL KORS HDG. (SWX) DEAD - 12/09/17 ,other
CAPRI HOLDINGS ,other
ALLEGION ,technology
GGP DEAD - DELIST.29/08/18 ,consumer
MOHAWK INDUSTRIES ,other
FACEBOOK CLASS A ,technology
ALLIANCE DATA SYSTEMS ,other
TRACTOR SUPPLY ,other
KEURIG GREEN MOUNTAIN DEAD - DELIST.04/03/16 ,consumer
ESSEX PROPERTY TST. ,financials
UNDER ARMOUR A ,other
NAVIENT ,financials
BROADCOM ,technology
CIMAREX EN. ,resources
AFFILIATED MANAGERS ,financials
MARTIN MRTA.MATS. ,resources
MALLINCKRODT PUB ,other
UNITED RENTALS ,other
UNIVERSAL HEALTH SVS.'B' ,other
LEVEL 3 COMMS. DEAD - DELIST.01/11/17 ,utility
ROYAL CARIBBEAN GROUP ,other
ENDO INTERNATIONAL ,other
HCA HEALTHCARE ,other
SKYWORKS SOLUTIONS ,technology
HENRY SCHEIN ,other
HANESBRANDS ,other
SL GREEN REALTY ,financials
EQUINIX REIT ,utility
AMERICAN AIRLINES GROUP ,other
REALTY INCOME ,financials
QORVO ,technology
BAXALTA DEAD - DELIST.03/06/16 ,other
HUNT JB TRANSPORT SVS. ,other
COLUMBIA PIPELINE GROUP DEAD - DELIST.01/07/16 ,resources
ADV.AUTO PARTS ,other
PAYPAL HOLDINGS ,financials
SIGNET JEWELERS ,other
ACTIVISION BLIZZARD ,other
UNITED AIRLINES HOLDINGS ,other
COMCAST A ,utility
VERISK ANALYTICS CL.A ,other
HEWLETT PACKARD ENTER. ,technology
SYNCHRONY FINANCIAL ,financials
ILLUMINA ,technology
CSRA DEAD - DELIST.04/04/18 ,technology
CHURCH & DWIGHT CO. ,consumer
WILLIS TOWERS WATSON ,financials
EXTRA SPACE STRG. ,other
CITIZENS FINANCIAL GROUP ,financials
FEDERAL REALTY INV.TST. ,financials
CONCHO RESOURCES DEAD - DELIST.19/01/21 ,resources
AMERICAN WATER WORKS ,utility
UDR ,financials
HOLOGIC ,technology
CENTENE ,financials
FOOT LOCKER ,other
ULTA BEAUTY ,other
GLOBAL PAYMENTS ,financials
ACUITY BRANDS ,other
ALASKA AIR GROUP ,other
DIGITAL REALTY TST. ,financials
LKQ ,other
ARTHUR J GALLAGHER ,financials
TRANSDIGM GROUP ,technology
FORTUNE BNS.HM.& SCTY. ,other
ALBEMARLE ,other
FORTIVE ,technology
METTLER TOLEDO INTL. ,technology
CHARTER COMMS.CL.A ,other
COOPER COS. ,other
COTY CL.A ,other
MID-AMER.APT COMMUNITIES ,financials
ENVISION HEALTHCARE DEAD - DELIST.11/10/18 ,other
IDEXX LABORATORIES ,other
INCYTE ,other
CBOE GLOBAL MARKETS(BTS) ,financials
REGENCY CENTERS ,consumer
DISH NETWORK 'A' ,other
SYNOPSYS ,technology
ALEXANDRIA RLST.EQTIES. ,financials
ADVANCED MICRO DEVICES ,technology
RAYMOND JAMES FINL. ,financials
DXC TECHNOLOGY ,other
GARTNER 'A' ,other
IHS MARKIT ,other
ANSYS ,technology
EVEREST RE GP. ,financials
ALIGN TECHNOLOGY ,technology
HILTON WORLDWIDE HDG. ,other
PACKAGING CORP.OF AM. ,other
RESMED ,technology
DUKE REALTY ,financials
MGM RESORTS INTL. ,other
SMITH (AO) ,technology
BRIGHTHOUSE FINANCIAL ,financials
IQVIA HOLDINGS ,other
SBA COMMS. ,utility
CADENCE DESIGN SYS. ,technology
NORWEGIAN CRUISE LINE HDG. ,other
HNTGTN.INGALLS INDS. ,technology
IPG PHOTONICS ,technology
TAKE TWO INTACT.SFTW. ,other
SVB FINANCIAL GROUP ,financials
NEKTAR THERAPEUTICS ,other
MSCI ,financials
ABIOMED ,technology
EVERGY ,utility
TWITTER ,technology
HOLLYFRONTIER ,resources
BROADRIDGE FINL.SLTN. ,financials
FLEETCOR TECHNOLOGIES ,financials
COPART ,other
ARISTA NETWORKS ,technology
ROLLINS ,other
FORTINET ,technology
KEYSIGHT TECHNOLOGIES ,technology
JACK HENRY AND ASSOCIATES ,financials
MAXIM INTEGRATED PRDS. ,technology
LAMB WESTON HOLDINGS ,consumer
DIAMONDBACK ENERGY ,resources
CELANESE ,other
FIRST REPUBLIC BANK ,financials
TELEFLEX ,technology
ATMOS ENERGY ,utility
WABTEC ,technology
DOW ORD SHS ,other
CORTEVA ,other
AMCOR ,other
BEMIS DEAD - DELIST.11/06/19 ,other
MARKETAXESS HOLDINGS ,financials
T-MOBILE US ,utility
LEIDOS HOLDINGS ,technology
IDEX ,technology
