time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
6,1,2005,0,1,6.125,334000,733,51,47,0.30030029999999996,12,0,0,-1.751525,151.11,3.35,0.465,-0.06,-0.16,0.305,392217.8,0.02497263,0.7642825,1.383117,0.2,-0.1,0.07,1.89,-1.38
7,1,2003,0,1,6.125,290000,748,35,62,0.6199308000000001,12,0,0,2.2091439999999998,135.62,3.21,0.885,-0.7,-0.69,0.195,189953.5,0.02671514,0.8674134,1.291601,0.0,0.2,-1.6,2.41,-0.82
24,1,2001,0,1,7.375,131000,652,46,80,2.234962,12,0,0,9.467659,114.92,14.01,0.455,-0.95,-0.84,-0.385,55640.71,0.04373467,0.9836719,1.234164,1.1,0.4,-0.86,1.61,1.87
20,1,2001,0,1,7.75,171000,671,33,95,1.421924,12,0,0,9.604402,110.73,7.04,0.64,-0.75,-0.64,0.0,22875.54,0.05045215,0.9922516,1.1308340000000001,0.9,-0.1,-0.82,1.79,1.38
9,1,2002,0,1,7.125,144000,624,12,80,0.6531944000000001,12,0,0,9.864757,147.61,14.55,0.365,0.43,0.04,0.405,54683.3,0.1113207,1.053417,1.369298,1.5,0.0,-0.23,3.43,1.66
25,1,2003,0,1,7.5,156000,744,34,95,2.962885,12,0,0,22.41796,130.75,20.85,1.71,-1.18,-1.33,0.38,39018.4,0.104512,1.039564,1.20133,-0.1,0.0,-1.25,2.83,-0.67
11,1,2001,0,1,8.125,180000,772,16,80,2.934413,12,0,0,2.504315,130.34,7.17,0.975,-1.1,-1.08,-0.105,62311.08,0.03478839,0.9943215,1.377697,1.1,0.4,-1.5,0.01,-1.33
20,1,2002,0,1,6.75,110000,664,24,80,2.006364,12,0,0,13.834710000000001,121.73,7.34,0.62,-1.09,-0.99,-0.37,37997.89,0.08919372,0.9860290999999999,1.113237,0.4,0.2,-0.6,2.82,0.04
24,1,2003,0,1,7.25,156000,745,37,80,2.071026,12,0,0,18.33149,121.47,12.71,1.31,-0.99,-0.98,0.33,62634.6,0.08738902,0.9891044,1.082921,0.2,-0.1,-0.67,3.08,0.11
11,1,2003,0,1,6.75,138000,769,35,74,0.9742029000000001,12,0,0,14.745999999999999,156.02,19.73,0.84,-1.35,-0.85,-0.01,73413.62,0.15561370000000002,1.10924,1.319725,0.2,0.0,-1.47,2.68,-0.81
