time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
33,1,2004,0,1,7.5,130000,750,32,57,2.710615,12,0,0,32.01175,127.74,47.21,1.49,-0.62,-0.91,0.58,185883.9,0.09076052,1.056526,1.228828,-0.4,-0.2,0.39,3.41,0.58
23,1,2001,0,1,7.875,50000,672,49,91,1.6228,12,0,0,17.46939,106.27,9.54,0.855,-2.01,-1.23,-0.375,10688.95,0.09416416,1.0238459999999998,1.057072,1.5,0.8,-1.07,2.78,3.23
6,1,2001,0,1,8.25,120000,701,39,89,0.0,12,0,0,3.9137730000000004,136.97,4.87,1.13,-0.58,-0.61,0.52,19625.42,0.09450619,1.0053590000000001,1.3684889999999998,0.4,0.3,-0.85,1.27,0.94
14,1,2001,0,1,8.25,253000,750,28,72,0.9816206000000001,12,0,0,10.45857,162.41,17.14,1.09,-0.63,-0.57,0.52,137956.3,0.09278243,1.0232379999999999,1.6364040000000002,1.7,0.6,-0.15,3.4,3.93
19,1,2002,0,1,7.875,265000,714,57,60,1.3878110000000001,12,0,0,19.12327,144.46,27.11,1.655,-0.84,-0.9,0.755,263229.5,0.11144369999999999,1.037985,1.42703,1.0,-0.2,-0.71,2.64,1.03
29,1,2005,0,1,6.0,115000,773,39,80,2.7246490000000003,11,1,0,31.10925,134.53,25.27,0.47,0.1,-0.26,0.21,58373.18,0.1325875,0.8805556000000001,1.156388,-0.8,-0.1,-0.73,1.03,-2.43
25,1,2002,0,1,8.375,56000,732,51,90,13.314589999999999,12,0,0,9.18384,118.62,10.5,2.035,-1.4,-1.79,0.245,19186.18,0.03615164,0.9383669,1.197003,1.4,0.1,-0.59,2.97,1.24
38,1,2002,0,1,7.5,200000,726,37,77,5.5675550000000005,12,0,0,32.481609999999996,134.21,63.49,1.37,-2.06,-1.83,-0.46,193749.3,0.1182894,1.048735,1.603219,0.3,0.1,-0.6,2.82,0.04
11,1,2005,0,1,5.75,150000,652,27,48,1.1764,12,0,0,27.60805,199.22,54.85,0.09,0.39,0.26,0.35,250303.3,0.20128210000000002,1.275379,1.363361,-0.7,-0.1,0.07,1.89,-1.38
12,1,2006,0,1,6.375,240000,778,42,80,1.1445,12,0,0,24.35521,146.41,35.81,0.255,0.25,0.43,0.685,136122.9,0.1864696,0.9398187,1.1959,-0.5,0.0,0.2,0.18,-1.71
28,1,2002,0,1,8.0,198000,709,44,95,1.7597459999999998,12,0,0,30.867829999999998,132.59,41.85,1.78,-2.18,-2.4,-0.62,79287.78,0.140272,1.0735059999999998,1.402893,1.1,0.1,-0.71,2.64,1.03
5,1,2002,0,1,6.75,225000,775,12,53,0.4444444,12,0,0,0.403464,134.88,1.68,0.44,-0.99,-0.24,0.2,205816.0,0.03008848,0.8970688,1.299869,0.1,-0.1,-0.63,2.36,-0.05
25,1,2004,0,1,6.5,80000,652,32,67,2.629175,10,2,0,9.124066000000001,142.3,10.47,0.86,0.16,-0.67,0.19,50291.63,0.06001206,0.7765405,1.366215,-0.8,-0.3,-0.19,2.34,-1.03
